item_id,y_clean,y_obs,contaminated,model,pi,dose,mix
college_biology/0,0.20640811324119568,0.15801359713077545,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/1,0.38013434410095215,0.4767385721206665,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/2,0.9031085968017578,0.9257839322090149,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/3,0.9146309494972229,0.8999777436256409,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/4,0.5499411821365356,0.6301625370979309,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/5,0.9968731999397278,0.9948941469192505,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/6,0.9967592358589172,0.9880025386810303,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/7,0.22258588671684265,0.19174431264400482,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/8,0.9942660927772522,0.9732227921485901,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/9,0.9801716804504395,0.9812646508216858,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/10,0.4958440363407135,0.5344077944755554,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/11,0.2788051962852478,0.19969765841960907,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/12,0.31944477558135986,0.24607963860034943,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/13,0.9053718447685242,0.8544896841049194,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/14,0.429720401763916,0.4403356909751892,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/15,0.22110025584697723,0.16522638499736786,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/16,0.9738847613334656,0.9698706269264221,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/17,0.5749072432518005,0.5438597202301025,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/18,0.25454407930374146,0.2740112543106079,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/19,0.44162872433662415,0.5924960374832153,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/20,0.9979123473167419,0.9974568486213684,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/21,0.9980908036231995,0.9847269058227539,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/22,0.318970263004303,0.44437500834465027,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/23,0.7416822910308838,0.886553168296814,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/24,0.9962257146835327,0.9940736889839172,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/25,0.9957587122917175,0.9874733686447144,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/26,0.04274143651127815,0.020534919574856758,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/27,0.9456104040145874,0.948128342628479,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/28,0.7027029395103455,0.8423770666122437,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/29,0.5579694509506226,0.4859744906425476,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/30,0.9683905839920044,0.9625265002250671,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/31,0.5422115325927734,0.38863450288772583,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/32,0.34084540605545044,0.3638473451137543,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/33,0.9537611603736877,0.7800339460372925,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/34,0.2553641200065613,0.28494396805763245,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/35,0.7048394083976746,0.6415439248085022,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/36,0.8208478093147278,0.8062558174133301,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/37,0.49684396386146545,0.623589277267456,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/38,0.9775083065032959,0.966825008392334,True,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/39,0.1124400794506073,0.12392838299274445,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/40,0.3183232843875885,0.33653518557548523,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/41,0.3641262948513031,0.415865957736969,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/42,0.99600750207901,0.9756150245666504,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/43,0.7051841616630554,0.66899174451828,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/44,0.45819857716560364,0.3547787666320801,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/45,0.05995221808552742,0.10396064072847366,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/46,0.1437641829252243,0.10608461499214172,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/47,0.918129026889801,0.9134228825569153,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/48,0.6623031497001648,0.7096124291419983,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/49,0.8455824851989746,0.8899011611938477,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/50,0.7017077803611755,0.6253208518028259,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/51,0.3277090787887573,0.181766077876091,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/52,0.6770631670951843,0.6652634739875793,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/53,0.05147393420338631,0.051848672330379486,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/54,0.24767933785915375,0.20581495761871338,True,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/55,0.2967051565647125,0.2579716444015503,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/56,0.12467098236083984,0.10002237558364868,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/57,0.8408691883087158,0.6480625867843628,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/58,0.3924880921840668,0.27675512433052063,True,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/59,0.9974024891853333,0.9951103329658508,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/60,0.8720700144767761,0.7214037775993347,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/61,0.6988823413848877,0.48503759503364563,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/62,0.9843648672103882,0.9788402318954468,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/63,0.22915363311767578,0.17782190442085266,False,Qwen/Qwen2.5-1.5B,0.1,1,0
college_biology/64,0.1797037422657013,0.1745930165052414,False,Qwen/Qwen2.5-1.5B,0.1,1,0
