task,model_a,model_b,n_items,margin,gamma_star_pi0.05,gamma_star_pi0.1,gamma_star_pi0.2,gamma_star_pi0.3,lam_ref,non_robust_primary,non_robust_rho02,fragility_p,pilot_overlap,certified_robust_bh,certified_robust_by
arc:challenge|25,meta-llama__Meta-Llama-3-70B,meta-llama__Llama-2-70b-hf,1170,0.014529914529914478,0.29059829059828957,0.14529914529914478,0.07264957264957239,0.04843304843304826,0.355,True,True,0.9815092453773113,False,False,False
arc:challenge|25,meta-llama__Llama-2-70b-hf,mistralai__Mixtral-8x7B-v0.1,1170,0.00940170940170948,0.1880341880341896,0.0940170940170948,0.0470085470085474,0.0313390313390316,0.355,True,True,0.9905047476261869,False,False,False
arc:challenge|25,mistralai__Mixtral-8x7B-v0.1,Qwen__Qwen1.5-72B,1170,0.00512820512820511,0.1025641025641022,0.0512820512820511,0.02564102564102555,0.017094017094017033,0.355,True,True,0.9980009995002499,False,False,False
arc:challenge|25,Qwen__Qwen1.5-72B,01-ai__Yi-34B,1170,0.012820512820512775,0.2564102564102555,0.12820512820512775,0.06410256410256387,0.04273504273504258,0.355,True,True,0.9855072463768116,False,False,False
arc:challenge|25,01-ai__Yi-34B,upstage__SOLAR-10.7B-v1.0,1170,0.026495726495726513,0.5299145299145303,0.2649572649572651,0.13247863247863256,0.08831908831908838,0.355,True,True,0.7971014492753623,False,False,False
arc:challenge|25,upstage__SOLAR-10.7B-v1.0,google__gemma-7b,1170,0.008974358974358942,0.17948717948717885,0.08974358974358942,0.04487179487179471,0.029914529914529808,0.355,True,True,0.993503248375812,False,False,False
arc:challenge|25,google__gemma-7b,microsoft__phi-2,1170,0.0008547008547008517,0.017094017094017033,0.008547008547008517,0.004273504273504258,0.002849002849002839,0.355,True,True,0.999000499750125,False,False,False
arc:challenge|25,microsoft__phi-2,meta-llama__Meta-Llama-3-8B,1170,0.00726495726495735,0.145299145299147,0.0726495726495735,0.03632478632478675,0.024216524216524503,0.355,True,True,0.9960019990004998,False,False,False
arc:challenge|25,meta-llama__Meta-Llama-3-8B,mistralai__Mistral-7B-v0.1,1170,0.002564102564102555,0.0512820512820511,0.02564102564102555,0.012820512820512775,0.008547008547008517,0.355,True,True,0.9985007496251874,True,False,False
arc:challenge|25,mistralai__Mistral-7B-v0.1,meta-llama__Llama-2-13b-hf,1170,0.018803418803418737,0.37606837606837473,0.18803418803418737,0.09401709401709368,0.06267806267806246,0.355,True,True,0.9355322338830585,True,False,False
