item_id,y_clean,y_obs,contaminated,model,pi,dose,mix,seed
college_biology/0,0.20640811324119568,0.1551218032836914,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/1,0.38013434410095215,0.24548496305942535,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/2,0.9031085968017578,0.9456287026405334,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/3,0.9146309494972229,0.8029624223709106,True,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/4,0.5499411821365356,0.6228325963020325,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/5,0.9968731999397278,0.9955343008041382,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/6,0.9967592358589172,0.9917641282081604,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/7,0.22258588671684265,0.1474410891532898,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/8,0.9942660927772522,0.9850214123725891,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/9,0.9801716804504395,0.9869089722633362,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/10,0.4958440363407135,0.6753358244895935,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/11,0.2788051962852478,0.31032660603523254,True,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/12,0.31944477558135986,0.2657589316368103,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/13,0.9053718447685242,0.895434558391571,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/14,0.429720401763916,0.43722766637802124,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/15,0.22110025584697723,0.23420216143131256,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/16,0.9738847613334656,0.974440336227417,True,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/17,0.5749072432518005,0.5574568510055542,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/18,0.25454407930374146,0.2820252776145935,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/19,0.44162872433662415,0.48707810044288635,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/20,0.9979123473167419,0.997453510761261,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/21,0.9980908036231995,0.9944413304328918,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/22,0.318970263004303,0.36273297667503357,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/23,0.7416822910308838,0.8376882672309875,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/24,0.9962257146835327,0.995546817779541,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/25,0.9957587122917175,0.9896388053894043,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/26,0.04274143651127815,0.027583124116063118,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/27,0.9456104040145874,0.9711553454399109,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/28,0.7027029395103455,0.8207739591598511,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/29,0.5579694509506226,0.6575639843940735,True,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/30,0.9683905839920044,0.9725823998451233,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/31,0.5422115325927734,0.38603803515434265,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/32,0.34084540605545044,0.3261675536632538,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/33,0.9537611603736877,0.900894820690155,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/34,0.2553641200065613,0.35245904326438904,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/35,0.7048394083976746,0.6709164381027222,True,Qwen/Qwen2.5-1.5B,0.1,1,0,43
college_biology/36,0.8208478093147278,0.7469411492347717,False,Qwen/Qwen2.5-1.5B,0.1,1,0,43
