source,link,model,benchmark,evidence,lift_pp,clean_score_pp,headroom_pp,lambda_est,quality,notes
Brown et al. 2020 (GPT-3),https://arxiv.org/abs/2005.14165,GPT-3 175B,PIQA/ReCoRD,clean-subset vs full gap 1-2pt,1.5,80.0,20.0,0.08,medium,low contamination fraction; gap diluted; per-item lambda likely higher
Brown et al. 2020 (GPT-3),https://arxiv.org/abs/2005.14165,GPT-3 175B,SQuAD,6pt drop on clean subset; 94% of test contaminated,6.0,85.0,15.0,0.4,medium,94% contaminated so gap ~ per-item lift
Touvron et al. (LLaMA 70B),https://arxiv.org/abs/2302.13971,LLaMA 70B,HellaSwag,clean 63.5 vs dirty 78.8,15.3,63.5,36.5,0.42,high,direct clean/dirty split; strongest single anchor
Llama 3 report (n-gram flags),https://arxiv.org/abs/2407.21783,Llama-3,PiQA,estimated gain up to 8pt on flagged subset,8.0,80.0,20.0,0.4,medium,upper estimate by design ('up to')
Llama 3 report (n-gram flags),https://arxiv.org/abs/2407.21783,Llama-3,HellaSwag,estimated gain up to 14pt on flagged subset,14.0,70.0,30.0,0.47,medium,upper estimate by design ('up to')
Clean GSM8K mirror re-measurement,https://blog.pebblous.ai/blog/llm-benchmark-contamination/en/,Mistral,GSM8K,accuracy drop up to 13pt on clean mirror,13.0,39.0,61.0,0.21,low,secondary source; clean baseline approximated
Open-Source Contamination Report,https://arxiv.org/abs/2310.17589,various open,C-Eval,boost up to 14% on contaminated subsets,14.0,55.0,45.0,0.31,medium,multi-model report
Open-Source Contamination Report,https://arxiv.org/abs/2310.17589,various open,HellaSwag,boost up to 7% on contaminated subsets,7.0,70.0,30.0,0.23,medium,multi-model report
Open-Source Contamination Report,https://arxiv.org/abs/2310.17589,various open,MMLU,minimal increase on contaminated subset,1.0,55.0,45.0,0.02,medium,lambda is task-heterogeneous; MMLU low
Inference-time decontamination,https://arxiv.org/abs/2601.19334,various,MMLU,screening removed 22.9% of inflated score,,,,,corroboration,magnitude corroboration only; not converted
Magar & Schwartz 2022,https://arxiv.org/abs/2203.08242,BERT,GLUE tasks,exploitation varies with duplication count and model size; sometimes ~0,,,,,qualitative,supports dose term and task heterogeneity of lambda
Dose-response study,https://arxiv.org/abs/2601.04301,controlled,generative evals,lift grows with capacity; shrinks with unique corpus size and overtraining,,,,,qualitative,basis for model-stratified lambda (THEORY SS9 U3)
CONTAM-CTRL LoRA (this work),notebooks/contamctrl_lora_kaggle.ipynb,Qwen/Qwen2.5-0.5B,MMLU (4 subjects),"fp32 LoRA injection, dose=1, aggregated over 4 pi levels",-1.4,,,0.194,measured,"lambda_q95 range [0.14, 0.25]; mean violation_rate=0.489; mean spillover=0.0623; concentrated-exposure ceiling"
CONTAM-CTRL LoRA (this work),notebooks/contamctrl_lora_kaggle.ipynb,Qwen/Qwen2.5-0.5B,MMLU (4 subjects),"fp32 LoRA injection, dose=4, aggregated over 4 pi levels",10.2,,,0.766,measured,"lambda_q95 range [0.56, 0.97]; mean violation_rate=0.195; mean spillover=0.1030; concentrated-exposure ceiling"
CONTAM-CTRL LoRA (this work),notebooks/contamctrl_lora_kaggle.ipynb,Qwen/Qwen2.5-0.5B,MMLU (4 subjects),"fp32 LoRA injection, dose=16, aggregated over 4 pi levels",51.2,,,1.0,measured,"lambda_q95 range [1.00, 1.00]; mean violation_rate=0.002; mean spillover=0.2817; concentrated-exposure ceiling"
CONTAM-CTRL LoRA (this work),notebooks/contamctrl_lora_kaggle.ipynb,Qwen/Qwen2.5-1.5B,MMLU (4 subjects),"fp32 LoRA injection, dose=1, aggregated over 4 pi levels",-0.6,,,0.425,measured,"lambda_q95 range [0.30, 0.55]; mean violation_rate=0.425; mean spillover=0.0618; concentrated-exposure ceiling"
CONTAM-CTRL LoRA (this work),notebooks/contamctrl_lora_kaggle.ipynb,Qwen/Qwen2.5-1.5B,MMLU (4 subjects),"fp32 LoRA injection, dose=4, aggregated over 4 pi levels",10.9,,,0.758,measured,"lambda_q95 range [0.53, 0.99]; mean violation_rate=0.176; mean spillover=0.0910; concentrated-exposure ceiling"
CONTAM-CTRL LoRA (this work),notebooks/contamctrl_lora_kaggle.ipynb,Qwen/Qwen2.5-1.5B,MMLU (4 subjects),"fp32 LoRA injection, dose=16, aggregated over 4 pi levels",38.5,,,1.0,measured,"lambda_q95 range [1.00, 1.00]; mean violation_rate=0.000; mean spillover=0.2232; concentrated-exposure ceiling"
